countryName,capital,capitalInLocal
Austria,Vienna,Wien
Belgium,Brussels,Bruxelles
Bulgaria,Sofia,Santa Sofia
Croatia,Zagreb,Zagreb
Cyprus,Nicosia,Nicosia
Czechia,Prague,Praha
Denmark,Copenhagen,København
Estonia,Tallinn,Talinn
Finland,Helsinki,Helsinki
France,Paris,Paris
Germany,Berlin,Berlin
Greece,Athens,Athens
Hungary,Budepest,Budapest
Iceland,Reykjavik,Reykjavik
Ireland,Dublin,Dublin
Italy,Rome,Roma
Latvia,Riga,Riga
Lithuania,Vilnius,Vilnius
Luxembourg,Luxembourg,Luxembourg
Malta,Valletta,Valletta
Netherlands,Amsterdam,Amsterdam
Norway,Oslo,Oslo
Poland,Warsaw,Warszawa
Portugal,Lisbon,Lisboa
Romania,Bucharest,Bukaresti
Serbia,Beograd,Beograd
Slovakia,Bratislava,Bratislava
Slovenia,Ljubljana,Ljubljana
Spain,Madrid,Madrid
Sweden,Stockholm,Stockholm
Switzerland,Bern,Bern
United Kingdom,London,London




























